Time(s),Force(N),dx(m),dr(m)
237,321.599929318963,0.00000123224798,0.00000042874184
238,326.175459050214,0.00000148378672,0.0000004236339
239,319.281916546265,0.00000139271248,0.00000043408854
240,326.740516643651,0.00000129815082,0.00000045004482
241,324.944858536759,0.00000134173468,0.00000044956476
242,325.411565949995,0.00000124929646,0.00000045705522
243,323.558080961935,0.00000154947874,0.00000042339768
244,329.512781809026,0.0000014675358,0.00000042852594
245,323.793036028339,0.0000014632813,0.00000042657268
246,320.90738569366,0.00000100815648,0.00000047567342
247,330.137756947795,0.00000128727962,0.00000044854876
248,323.080920227873,0.00000120121934,0.00000046142148
249,318.035168988299,0.00000110639352,0.0000004609719
250,324.619204231354,0.00000128466596,0.00000045709586
251,319.53564310794,0.0000015042007,0.00000042932604
252,326.060250110043,0.00000130443732,0.00000044187872
253,325.802520148902,0.0000014571472,0.00000043682412
254,332.783737101144,0.0000017312767,0.00000041373044
255,322.116768189949,0.00000114742468,0.00000044440094
256,326.102063393348,0.00000118373398,0.0000004725162
257,328.379730795878,0.00000149642576,0.00000047873666
258,317.568417092846,0.00000122524774,0.00000046608746
259,326.238801726201,0.00000147338796,0.00000045042328
260,322.258088191079,0.00000120768872,0.00000045741082
261,321.775011322251,0.00000123563126,0.00000046119542
262,323.196262614693,0.00000162346132,0.00000046710092
263,327.632385080115,0.00000135280654,0.0000004780534
264,331.685026358966,0.0000014805279,0.00000045745146
265,326.55337995975,0.00000156333952,0.00000045545502
266,319.406644680721,0.00000154812492,0.0000004187063
267,327.509569680959,0.00000134060184,0.00000045130974
268,323.26151802598,0.00000175238664,0.0000004365625
269,320.62261054502,0.00000156878782,0.00000043665394
270,320.459405293479,0.00000154932888,0.00000043913552
271,319.577056051299,0.00000127497078,0.00000047286672
272,325.041874250471,0.00000114398044,0.00000044069254
273,322.58067322356,0.000001207135,0.00000043128692
274,321.149991701265,0.00000112794288,0.00000045056298
275,327.002472415339,0.00000156985462,0.00000045732446
276,325.715512933853,0.0000015326487,0.00000047095918
277,321.167784587778,0.0000015969488,0.00000045462952
278,324.467920213778,0.0000014265275,0.00000047827946
279,323.039863142244,0.00000173386496,0.00000047531528
280,322.668392154069,0.00000155529788,0.000000482092
281,326.485411133271,0.00000140542264,0.00000046889162
282,321.32511818677,0.00000135887968,0.00000047110904
283,326.152283815531,0.00000162383724,0.00000046322234
284,320.451754352279,0.00000126799594,0.00000049987454
285,328.9406515432,0.00000147562316,0.0000005115306
286,323.148933536569,0.00000165741858,0.00000049628806
287,320.933096414672,0.00000172021246,0.00000047112936
288,326.239157583931,0.00000141141196,0.00000050882042
289,320.450241956925,0.00000140364718,0.0000005049012
290,325.345465376599,0.00000160069276,0.0000004984877
291,327.088901361576,0.00000147532852,0.000000506857
292,321.100482994543,0.00000149248622,0.00000050660554
293,320.839194456099,0.00000153845006,0.00000051409346
294,322.694636661675,0.00000144003522,0.00000050192178
295,323.091506995348,0.00000118403116,0.0000005153533
296,322.310399277427,0.0000014475333,0.00000049668176
297,327.782201184555,0.00000162680142,0.00000049015142
298,320.443525142266,0.0000012339701,0.00000049958752
