"PLOT"	"SPECIES"	"HEIGHT"	"STATUS"	"HEIGHT.log"	"LIGHT.log"
4	"PREMON"	39	1	1.5910646070265	0.0715138050950892
4	"TETBAL"	17	1	1.23044892137827	0.0715138050950892
4	"PALRIP"	30	0	1.47712125471966	0.0715138050950892
4	"GUAGUI"	15	1	1.17609125905568	0.0715138050950892
4	"GUAGUI"	13	0	1.11394335230684	0.0715138050950892
4	"DACEXC"	20	0	1.30102999566398	0.0715138050950892
4	"PREMON"	40	1	1.60205999132796	0.0715138050950892
4	"MANBID"	11	1	1.04139268515822	0.0715138050950892
4	"PREMON"	46	1	1.66275783168157	0.0715138050950892
4	"PREMON"	50	1	1.69897000433602	0.0715138050950892
4	"PREMON"	46	1	1.66275783168157	0.0715138050950892
4	"PREMON"	30	1	1.47712125471966	0.0715138050950892
4	"PREMON"	35	1	1.54406804435028	0.0715138050950892
