"Month"	"Temperature"	"Year"	"nMonth"	"Date"	"Time"
"2874"	"Sep"	12	1676	9	"1676-09-15"	-107.123
"3588"	"Nov"	3.5	1676	11	"1676-11-15"	-107.062
"19"	"Jan"	3	1677	1	"1677-01-15"	-107.001
"376"	"Feb"	3.5	1677	2	"1677-02-15"	-106.97
"1090"	"Apr"	7.5	1677	4	"1677-04-15"	-106.911
"1804"	"Jun"	13	1677	6	"1677-06-15"	-106.85
"2161"	"Jul"	18	1677	7	"1677-07-15"	-106.82
"2518"	"Aug"	15	1677	8	"1677-08-15"	-106.789
"2875"	"Sep"	13	1677	9	"1677-09-15"	-106.758
"3589"	"Nov"	4.5	1677	11	"1677-11-15"	-106.697
"20"	"Jan"	1.5	1678	1	"1678-01-15"	-106.636
"377"	"Feb"	2	1678	2	"1678-02-15"	-106.605
"1091"	"Apr"	6.5	1678	4	"1678-04-15"	-106.546
"1805"	"Jun"	14.5	1678	6	"1678-06-15"	-106.485
"2162"	"Jul"	16.5	1678	7	"1678-07-15"	-106.455
"2519"	"Aug"	15	1678	8	"1678-08-15"	-106.424
"2876"	"Sep"	15	1678	9	"1678-09-15"	-106.393
"3590"	"Nov"	6	1678	11	"1678-11-15"	-106.332
"21"	"Jan"	1	1679	1	"1679-01-15"	-106.271
"378"	"Feb"	1.5	1679	2	"1679-02-15"	-106.24
"1092"	"Apr"	7	1679	4	"1679-04-15"	-106.181
"1806"	"Jun"	15.5	1679	6	"1679-06-15"	-106.12
"2163"	"Jul"	16	1679	7	"1679-07-15"	-106.09
"2520"	"Aug"	17	1679	8	"1679-08-15"	-106.059
"2877"	"Sep"	13	1679	9	"1679-09-15"	-106.028
"3591"	"Nov"	3.5	1679	11	"1679-11-15"	-105.967
"22"	"Jan"	3.5	1680	1	"1680-01-15"	-105.906
"379"	"Feb"	3.5	1680	2	"1680-02-15"	-105.875
"1093"	"Apr"	6.5	1680	4	"1680-04-15"	-105.815
"1807"	"Jun"	13	1680	6	"1680-06-15"	-105.754
"2164"	"Jul"	16	1680	7	"1680-07-15"	-105.724
"2521"	"Aug"	15	1680	8	"1680-08-15"	-105.693
"2878"	"Sep"	14.5	1680	9	"1680-09-15"	-105.662
"3592"	"Nov"	6.5	1680	11	"1680-11-15"	-105.601
"23"	"Jan"	0.5	1681	1	"1681-01-15"	-105.54
"380"	"Feb"	1.5	1681	2	"1681-02-15"	-105.509
"1094"	"Apr"	8	1681	4	"1681-04-15"	-105.45
"1808"	"Jun"	14	1681	6	"1681-06-15"	-105.389
"2165"	"Jul"	15	1681	7	"1681-07-15"	-105.359
"2522"	"Aug"	16	1681	8	"1681-08-15"	-105.328
"2879"	"Sep"	14	1681	9	"1681-09-15"	-105.297
"3593"	"Nov"	6.5	1681	11	"1681-11-15"	-105.236
"24"	"Jan"	6	1682	1	"1682-01-15"	-105.175
"381"	"Feb"	2	1682	2	"1682-02-15"	-105.144
"1095"	"Apr"	6.5	1682	4	"1682-04-15"	-105.085
"1809"	"Jun"	14	1682	6	"1682-06-15"	-105.024
"2166"	"Jul"	15	1682	7	"1682-07-15"	-104.994
"2523"	"Aug"	14.5	1682	8	"1682-08-15"	-104.963
"2880"	"Sep"	13	1682	9	"1682-09-15"	-104.932
"3594"	"Nov"	5.5	1682	11	"1682-11-15"	-104.871
