"Month"	"Temperature"	"Year"	"nMonth"	"Date"	"Time"
"463"	"Feb"	3.8	1764	2	"1764-02-15"	-75.195
"1177"	"Apr"	7.2	1764	4	"1764-04-15"	-75.135
"1891"	"Jun"	13.9	1764	6	"1764-06-15"	-75.074
"2248"	"Jul"	16.1	1764	7	"1764-07-15"	-75.044
"2605"	"Aug"	15.2	1764	8	"1764-08-15"	-75.013
"2962"	"Sep"	12.5	1764	9	"1764-09-15"	-74.982
"3676"	"Nov"	4.4	1764	11	"1764-11-15"	-74.921
"107"	"Jan"	4.8	1765	1	"1765-01-15"	-74.86
"464"	"Feb"	0.4	1765	2	"1765-02-15"	-74.829
"1178"	"Apr"	7.5	1765	4	"1765-04-15"	-74.77
"1892"	"Jun"	13.8	1765	6	"1765-06-15"	-74.709
"2249"	"Jul"	15.7	1765	7	"1765-07-15"	-74.679
"2606"	"Aug"	15.3	1765	8	"1765-08-15"	-74.648
"2963"	"Sep"	13.3	1765	9	"1765-09-15"	-74.617
"3677"	"Nov"	3.9	1765	11	"1765-11-15"	-74.556
"108"	"Jan"	0.7	1766	1	"1766-01-15"	-74.495
"465"	"Feb"	1.7	1766	2	"1766-02-15"	-74.464
"1179"	"Apr"	8.1	1766	4	"1766-04-15"	-74.405
"1893"	"Jun"	13.7	1766	6	"1766-06-15"	-74.344
"2250"	"Jul"	15.7	1766	7	"1766-07-15"	-74.314
"2607"	"Aug"	16.6	1766	8	"1766-08-15"	-74.283
"2964"	"Sep"	13.3	1766	9	"1766-09-15"	-74.252
"3678"	"Nov"	7.2	1766	11	"1766-11-15"	-74.191
"109"	"Jan"	0.1	1767	1	"1767-01-15"	-74.13
"466"	"Feb"	5.4	1767	2	"1767-02-15"	-74.099
"1180"	"Apr"	7.3	1767	4	"1767-04-15"	-74.04
"1894"	"Jun"	12.8	1767	6	"1767-06-15"	-73.979
"2251"	"Jul"	14.4	1767	7	"1767-07-15"	-73.949
"2608"	"Aug"	16.1	1767	8	"1767-08-15"	-73.918
"2965"	"Sep"	14.1	1767	9	"1767-09-15"	-73.887
"3679"	"Nov"	6.9	1767	11	"1767-11-15"	-73.826
"110"	"Jan"	0.8	1768	1	"1768-01-15"	-73.765
"467"	"Feb"	4.8	1768	2	"1768-02-15"	-73.734
"1181"	"Apr"	8.1	1768	4	"1768-04-15"	-73.674
"1895"	"Jun"	13.9	1768	6	"1768-06-15"	-73.613
"2252"	"Jul"	15.6	1768	7	"1768-07-15"	-73.583
"2609"	"Aug"	16	1768	8	"1768-08-15"	-73.552
"2966"	"Sep"	11.7	1768	9	"1768-09-15"	-73.521
"3680"	"Nov"	5.6	1768	11	"1768-11-15"	-73.46
"111"	"Jan"	2.5	1769	1	"1769-01-15"	-73.399
"468"	"Feb"	2.7	1769	2	"1769-02-15"	-73.368
"1182"	"Apr"	7.8	1769	4	"1769-04-15"	-73.309
"1896"	"Jun"	13.1	1769	6	"1769-06-15"	-73.248
"2253"	"Jul"	16.4	1769	7	"1769-07-15"	-73.218
"2610"	"Aug"	15	1769	8	"1769-08-15"	-73.187
"2967"	"Sep"	12.8	1769	9	"1769-09-15"	-73.156
"3681"	"Nov"	5.7	1769	11	"1769-11-15"	-73.095
"112"	"Jan"	3.7	1770	1	"1770-01-15"	-73.034
"469"	"Feb"	4.6	1770	2	"1770-02-15"	-73.003
"1183"	"Apr"	5.4	1770	4	"1770-04-15"	-72.944
"1897"	"Jun"	13.1	1770	6	"1770-06-15"	-72.883
"2254"	"Jul"	15.3	1770	7	"1770-07-15"	-72.853
"2611"	"Aug"	15.8	1770	8	"1770-08-15"	-72.822
"2968"	"Sep"	13.9	1770	9	"1770-09-15"	-72.791
"3682"	"Nov"	5.3	1770	11	"1770-11-15"	-72.73
"113"	"Jan"	1	1771	1	"1771-01-15"	-72.669
"470"	"Feb"	3.2	1771	2	"1771-02-15"	-72.638
"1184"	"Apr"	5.5	1771	4	"1771-04-15"	-72.579
"1898"	"Jun"	14.3	1771	6	"1771-06-15"	-72.518
"2255"	"Jul"	15.7	1771	7	"1771-07-15"	-72.488
"2612"	"Aug"	14.3	1771	8	"1771-08-15"	-72.457
"2969"	"Sep"	12.2	1771	9	"1771-09-15"	-72.426
"3683"	"Nov"	6.3	1771	11	"1771-11-15"	-72.365
"114"	"Jan"	1.2	1772	1	"1772-01-15"	-72.304
"471"	"Feb"	1.9	1772	2	"1772-02-15"	-72.273
"1185"	"Apr"	6.4	1772	4	"1772-04-15"	-72.213
"1899"	"Jun"	16.1	1772	6	"1772-06-15"	-72.152
"2256"	"Jul"	16.9	1772	7	"1772-07-15"	-72.122
"2613"	"Aug"	16.1	1772	8	"1772-08-15"	-72.091
"2970"	"Sep"	13	1772	9	"1772-09-15"	-72.06
"3684"	"Nov"	7.2	1772	11	"1772-11-15"	-71.999
"115"	"Jan"	4	1773	1	"1773-01-15"	-71.938
"472"	"Feb"	2.6	1773	2	"1773-02-15"	-71.907
"1186"	"Apr"	8.3	1773	4	"1773-04-15"	-71.848
"1900"	"Jun"	14.7	1773	6	"1773-06-15"	-71.787
"2257"	"Jul"	15.9	1773	7	"1773-07-15"	-71.757
"2614"	"Aug"	17.2	1773	8	"1773-08-15"	-71.726
"2971"	"Sep"	12.4	1773	9	"1773-09-15"	-71.695
"3685"	"Nov"	5.3	1773	11	"1773-11-15"	-71.634
"116"	"Jan"	0.6	1774	1	"1774-01-15"	-71.573
"473"	"Feb"	4.3	1774	2	"1774-02-15"	-71.542
"1187"	"Apr"	8.6	1774	4	"1774-04-15"	-71.483
"1901"	"Jun"	14.7	1774	6	"1774-06-15"	-71.422
"2258"	"Jul"	16.1	1774	7	"1774-07-15"	-71.392
"2615"	"Aug"	16.1	1774	8	"1774-08-15"	-71.361
"2972"	"Sep"	12.5	1774	9	"1774-09-15"	-71.33
"3686"	"Nov"	4.8	1774	11	"1774-11-15"	-71.269
"117"	"Jan"	4.6	1775	1	"1775-01-15"	-71.208
"474"	"Feb"	6.1	1775	2	"1775-02-15"	-71.177
"1188"	"Apr"	9.8	1775	4	"1775-04-15"	-71.118
"1902"	"Jun"	16.6	1775	6	"1775-06-15"	-71.057
"2259"	"Jul"	16.7	1775	7	"1775-07-15"	-71.027
"2616"	"Aug"	15.8	1775	8	"1775-08-15"	-70.996
"2973"	"Sep"	14.3	1775	9	"1775-09-15"	-70.965
"3687"	"Nov"	4.8	1775	11	"1775-11-15"	-70.904
"118"	"Jan"	-1.6	1776	1	"1776-01-15"	-70.843
"475"	"Feb"	3.8	1776	2	"1776-02-15"	-70.812
"1189"	"Apr"	9.4	1776	4	"1776-04-15"	-70.752
"1903"	"Jun"	14.1	1776	6	"1776-06-15"	-70.691
"2260"	"Jul"	16.3	1776	7	"1776-07-15"	-70.661
"2617"	"Aug"	15.2	1776	8	"1776-08-15"	-70.63
"2974"	"Sep"	12.9	1776	9	"1776-09-15"	-70.599
"3688"	"Nov"	6.2	1776	11	"1776-11-15"	-70.538
"119"	"Jan"	1.9	1777	1	"1777-01-15"	-70.477
"476"	"Feb"	2.3	1777	2	"1777-02-15"	-70.446
"1190"	"Apr"	7.2	1777	4	"1777-04-15"	-70.387
"1904"	"Jun"	13.6	1777	6	"1777-06-15"	-70.326
"2261"	"Jul"	15.3	1777	7	"1777-07-15"	-70.296
"2618"	"Aug"	15.9	1777	8	"1777-08-15"	-70.265
"2975"	"Sep"	14.6	1777	9	"1777-09-15"	-70.234
"3689"	"Nov"	6.9	1777	11	"1777-11-15"	-70.173
"120"	"Jan"	1.9	1778	1	"1778-01-15"	-70.112
"477"	"Feb"	3.2	1778	2	"1778-02-15"	-70.081
"1191"	"Apr"	8.2	1778	4	"1778-04-15"	-70.022
"1905"	"Jun"	15.4	1778	6	"1778-06-15"	-69.961
"2262"	"Jul"	17.3	1778	7	"1778-07-15"	-69.931
"2619"	"Aug"	16.8	1778	8	"1778-08-15"	-69.9
"2976"	"Sep"	12.2	1778	9	"1778-09-15"	-69.869
"3690"	"Nov"	6.7	1778	11	"1778-11-15"	-69.808
"121"	"Jan"	2.9	1779	1	"1779-01-15"	-69.747
"478"	"Feb"	7.9	1779	2	"1779-02-15"	-69.716
"1192"	"Apr"	9.4	1779	4	"1779-04-15"	-69.657
"1906"	"Jun"	14.4	1779	6	"1779-06-15"	-69.596
"2263"	"Jul"	17.9	1779	7	"1779-07-15"	-69.566
"2620"	"Aug"	17.6	1779	8	"1779-08-15"	-69.535
"2977"	"Sep"	15.2	1779	9	"1779-09-15"	-69.504
"3691"	"Nov"	5.7	1779	11	"1779-11-15"	-69.443
"122"	"Jan"	-0.9	1780	1	"1780-01-15"	-69.382
"479"	"Feb"	2.1	1780	2	"1780-02-15"	-69.351
"1193"	"Apr"	6.3	1780	4	"1780-04-15"	-69.291
"1907"	"Jun"	14.2	1780	6	"1780-06-15"	-69.23
"2264"	"Jul"	16.8	1780	7	"1780-07-15"	-69.2
"2621"	"Aug"	17.6	1780	8	"1780-08-15"	-69.169
"2978"	"Sep"	15.6	1780	9	"1780-09-15"	-69.138
"3692"	"Nov"	4.4	1780	11	"1780-11-15"	-69.077
"123"	"Jan"	2.1	1781	1	"1781-01-15"	-69.016
"480"	"Feb"	4.8	1781	2	"1781-02-15"	-68.985
"1194"	"Apr"	9.2	1781	4	"1781-04-15"	-68.926
"1908"	"Jun"	16.2	1781	6	"1781-06-15"	-68.865
"2265"	"Jul"	17.4	1781	7	"1781-07-15"	-68.835
"2622"	"Aug"	17.3	1781	8	"1781-08-15"	-68.804
"2979"	"Sep"	14.2	1781	9	"1781-09-15"	-68.773
"3693"	"Nov"	6.5	1781	11	"1781-11-15"	-68.712
"124"	"Jan"	5.2	1782	1	"1782-01-15"	-68.651
"481"	"Feb"	1.9	1782	2	"1782-02-15"	-68.62
"1195"	"Apr"	5.2	1782	4	"1782-04-15"	-68.561
"1909"	"Jun"	14.9	1782	6	"1782-06-15"	-68.5
"2266"	"Jul"	15.6	1782	7	"1782-07-15"	-68.47
"2623"	"Aug"	14.2	1782	8	"1782-08-15"	-68.439
"2980"	"Sep"	13.3	1782	9	"1782-09-15"	-68.408
"3694"	"Nov"	2.3	1782	11	"1782-11-15"	-68.347
"125"	"Jan"	3.4	1783	1	"1783-01-15"	-68.286
"482"	"Feb"	3.3	1783	2	"1783-02-15"	-68.255
"1196"	"Apr"	10.1	1783	4	"1783-04-15"	-68.196
"1910"	"Jun"	14.8	1783	6	"1783-06-15"	-68.135
"2267"	"Jul"	18.8	1783	7	"1783-07-15"	-68.105
"2624"	"Aug"	15.8	1783	8	"1783-08-15"	-68.074
"2981"	"Sep"	12.8	1783	9	"1783-09-15"	-68.043
"3695"	"Nov"	6.2	1783	11	"1783-11-15"	-67.982
"126"	"Jan"	-0.6	1784	1	"1784-01-15"	-67.921
"483"	"Feb"	1.4	1784	2	"1784-02-15"	-67.89
"1197"	"Apr"	5.7	1784	4	"1784-04-15"	-67.83
"1911"	"Jun"	13.7	1784	6	"1784-06-15"	-67.769
"2268"	"Jul"	15.2	1784	7	"1784-07-15"	-67.739
"2625"	"Aug"	14	1784	8	"1784-08-15"	-67.708
"2982"	"Sep"	14.8	1784	9	"1784-09-15"	-67.677
"3696"	"Nov"	5.5	1784	11	"1784-11-15"	-67.616
"127"	"Jan"	3.4	1785	1	"1785-01-15"	-67.555
"484"	"Feb"	0.4	1785	2	"1785-02-15"	-67.524
"1198"	"Apr"	8.4	1785	4	"1785-04-15"	-67.465
"1912"	"Jun"	16.1	1785	6	"1785-06-15"	-67.404
"2269"	"Jul"	16.1	1785	7	"1785-07-15"	-67.374
"2626"	"Aug"	13.9	1785	8	"1785-08-15"	-67.343
"2983"	"Sep"	13.6	1785	9	"1785-09-15"	-67.312
"3697"	"Nov"	5.6	1785	11	"1785-11-15"	-67.251
"128"	"Jan"	2.7	1786	1	"1786-01-15"	-67.19
"485"	"Feb"	3.4	1786	2	"1786-02-15"	-67.159
"1199"	"Apr"	8.1	1786	4	"1786-04-15"	-67.1
"1913"	"Jun"	16.1	1786	6	"1786-06-15"	-67.039
"2270"	"Jul"	15	1786	7	"1786-07-15"	-67.009
"2627"	"Aug"	15.1	1786	8	"1786-08-15"	-66.978
"2984"	"Sep"	11.7	1786	9	"1786-09-15"	-66.947
"3698"	"Nov"	3.3	1786	11	"1786-11-15"	-66.886
"129"	"Jan"	3.6	1787	1	"1787-01-15"	-66.825
"486"	"Feb"	5.9	1787	2	"1787-02-15"	-66.794
"1200"	"Apr"	7.4	1787	4	"1787-04-15"	-66.735
"1914"	"Jun"	13.9	1787	6	"1787-06-15"	-66.674
"2271"	"Jul"	15.8	1787	7	"1787-07-15"	-66.644
"2628"	"Aug"	15.6	1787	8	"1787-08-15"	-66.613
"2985"	"Sep"	12.8	1787	9	"1787-09-15"	-66.582
"3699"	"Nov"	4.5	1787	11	"1787-11-15"	-66.521
"130"	"Jan"	3.9	1788	1	"1788-01-15"	-66.46
"487"	"Feb"	3.8	1788	2	"1788-02-15"	-66.429
"1201"	"Apr"	9.4	1788	4	"1788-04-15"	-66.369
"1915"	"Jun"	15.4	1788	6	"1788-06-15"	-66.308
"2272"	"Jul"	15.8	1788	7	"1788-07-15"	-66.278
"2629"	"Aug"	15.8	1788	8	"1788-08-15"	-66.247
"2986"	"Sep"	13.4	1788	9	"1788-09-15"	-66.216
"3700"	"Nov"	6.1	1788	11	"1788-11-15"	-66.155
"131"	"Jan"	1.5	1789	1	"1789-01-15"	-66.094
"488"	"Feb"	5	1789	2	"1789-02-15"	-66.063
"1202"	"Apr"	7.4	1789	4	"1789-04-15"	-66.004
"1916"	"Jun"	14	1789	6	"1789-06-15"	-65.943
"2273"	"Jul"	15.4	1789	7	"1789-07-15"	-65.913
"2630"	"Aug"	16.6	1789	8	"1789-08-15"	-65.882
"2987"	"Sep"	13.1	1789	9	"1789-09-15"	-65.851
"3701"	"Nov"	4.6	1789	11	"1789-11-15"	-65.79
"132"	"Jan"	4.3	1790	1	"1790-01-15"	-65.729
"489"	"Feb"	6.6	1790	2	"1790-02-15"	-65.698
"1203"	"Apr"	6.1	1790	4	"1790-04-15"	-65.639
"1917"	"Jun"	14.6	1790	6	"1790-06-15"	-65.578
"2274"	"Jul"	14.9	1790	7	"1790-07-15"	-65.548
"2631"	"Aug"	15.6	1790	8	"1790-08-15"	-65.517
"2988"	"Sep"	12.2	1790	9	"1790-09-15"	-65.486
"3702"	"Nov"	6.1	1790	11	"1790-11-15"	-65.425
"133"	"Jan"	4.3	1791	1	"1791-01-15"	-65.364
"490"	"Feb"	4.7	1791	2	"1791-02-15"	-65.333
"1204"	"Apr"	9.6	1791	4	"1791-04-15"	-65.274
"1918"	"Jun"	14.7	1791	6	"1791-06-15"	-65.213
"2275"	"Jul"	15.3	1791	7	"1791-07-15"	-65.183
"2632"	"Aug"	15.9	1791	8	"1791-08-15"	-65.152
"2989"	"Sep"	13.8	1791	9	"1791-09-15"	-65.121
"3703"	"Nov"	5.9	1791	11	"1791-11-15"	-65.06
"134"	"Jan"	2.3	1792	1	"1792-01-15"	-64.999
"491"	"Feb"	4.5	1792	2	"1792-02-15"	-64.968
"1205"	"Apr"	10	1792	4	"1792-04-15"	-64.908
"1919"	"Jun"	13.2	1792	6	"1792-06-15"	-64.847
"2276"	"Jul"	15.3	1792	7	"1792-07-15"	-64.817
"2633"	"Aug"	16.9	1792	8	"1792-08-15"	-64.786
"2990"	"Sep"	11.8	1792	9	"1792-09-15"	-64.755
"3704"	"Nov"	7.1	1792	11	"1792-11-15"	-64.694
"135"	"Jan"	2.8	1793	1	"1793-01-15"	-64.633
"492"	"Feb"	4.6	1793	2	"1793-02-15"	-64.602
"1206"	"Apr"	6.2	1793	4	"1793-04-15"	-64.543
"1920"	"Jun"	13.5	1793	6	"1793-06-15"	-64.482
"2277"	"Jul"	17.6	1793	7	"1793-07-15"	-64.452
"2634"	"Aug"	15	1793	8	"1793-08-15"	-64.421
"2991"	"Sep"	11.7	1793	9	"1793-09-15"	-64.39
"3705"	"Nov"	6	1793	11	"1793-11-15"	-64.329
"136"	"Jan"	1.8	1794	1	"1794-01-15"	-64.268
"493"	"Feb"	7.2	1794	2	"1794-02-15"	-64.237
"1207"	"Apr"	10.2	1794	4	"1794-04-15"	-64.178
"1921"	"Jun"	15.7	1794	6	"1794-06-15"	-64.117
"2278"	"Jul"	18.1	1794	7	"1794-07-15"	-64.087
"2635"	"Aug"	15.5	1794	8	"1794-08-15"	-64.056
"2992"	"Sep"	12.5	1794	9	"1794-09-15"	-64.025
"3706"	"Nov"	6.1	1794	11	"1794-11-15"	-63.964
"137"	"Jan"	-3.1	1795	1	"1795-01-15"	-63.903
"494"	"Feb"	0.8	1795	2	"1795-02-15"	-63.872
"1208"	"Apr"	7.7	1795	4	"1795-04-15"	-63.813
"1922"	"Jun"	13.2	1795	6	"1795-06-15"	-63.752
"2279"	"Jul"	15.2	1795	7	"1795-07-15"	-63.722
"2636"	"Aug"	16.6	1795	8	"1795-08-15"	-63.691
"2993"	"Sep"	16	1795	9	"1795-09-15"	-63.66
"3707"	"Nov"	4.5	1795	11	"1795-11-15"	-63.599
"138"	"Jan"	7.3	1796	1	"1796-01-15"	-63.538
"495"	"Feb"	4.7	1796	2	"1796-02-15"	-63.507
"1209"	"Apr"	10.2	1796	4	"1796-04-15"	-63.447
"1923"	"Jun"	13.9	1796	6	"1796-06-15"	-63.386
"2280"	"Jul"	14.7	1796	7	"1796-07-15"	-63.356
"2637"	"Aug"	15.9	1796	8	"1796-08-15"	-63.325
"2994"	"Sep"	14.6	1796	9	"1796-09-15"	-63.294
"3708"	"Nov"	4.6	1796	11	"1796-11-15"	-63.233
"139"	"Jan"	3.5	1797	1	"1797-01-15"	-63.172
"496"	"Feb"	4.6	1797	2	"1797-02-15"	-63.141
"1210"	"Apr"	7.4	1797	4	"1797-04-15"	-63.082
"1924"	"Jun"	13.6	1797	6	"1797-06-15"	-63.021
"2281"	"Jul"	17.3	1797	7	"1797-07-15"	-62.991
"2638"	"Aug"	15.8	1797	8	"1797-08-15"	-62.96
"2995"	"Sep"	12.5	1797	9	"1797-09-15"	-62.929
"3709"	"Nov"	4.7	1797	11	"1797-11-15"	-62.868
"140"	"Jan"	3.6	1798	1	"1798-01-15"	-62.807
"497"	"Feb"	4	1798	2	"1798-02-15"	-62.776
"1211"	"Apr"	10.4	1798	4	"1798-04-15"	-62.717
"1925"	"Jun"	16.9	1798	6	"1798-06-15"	-62.656
"2282"	"Jul"	16.3	1798	7	"1798-07-15"	-62.626
"2639"	"Aug"	16.4	1798	8	"1798-08-15"	-62.595
"2996"	"Sep"	13.6	1798	9	"1798-09-15"	-62.564
"3710"	"Nov"	4.7	1798	11	"1798-11-15"	-62.503
"141"	"Jan"	1.7	1799	1	"1799-01-15"	-62.442
"498"	"Feb"	2.8	1799	2	"1799-02-15"	-62.411
"1212"	"Apr"	5.4	1799	4	"1799-04-15"	-62.352
"1926"	"Jun"	14.1	1799	6	"1799-06-15"	-62.291
"2283"	"Jul"	15.2	1799	7	"1799-07-15"	-62.261
"2640"	"Aug"	14.4	1799	8	"1799-08-15"	-62.23
"2997"	"Sep"	12.9	1799	9	"1799-09-15"	-62.199
"3711"	"Nov"	5.6	1799	11	"1799-11-15"	-62.138
"142"	"Jan"	2.8	1800	1	"1800-01-15"	-62.077
"499"	"Feb"	2.2	1800	2	"1800-02-15"	-62.046
"1213"	"Apr"	9.3	1800	4	"1800-04-15"	-61.987
"1927"	"Jun"	13.9	1800	6	"1800-06-15"	-61.926
"2284"	"Jul"	17.7	1800	7	"1800-07-15"	-61.896
"2641"	"Aug"	16.8	1800	8	"1800-08-15"	-61.865
"2998"	"Sep"	13.9	1800	9	"1800-09-15"	-61.834
"3712"	"Nov"	5.4	1800	11	"1800-11-15"	-61.773
"143"	"Jan"	4.6	1801	1	"1801-01-15"	-61.712
"500"	"Feb"	4.8	1801	2	"1801-02-15"	-61.681
"1214"	"Apr"	8.3	1801	4	"1801-04-15"	-61.622
"1928"	"Jun"	14.8	1801	6	"1801-06-15"	-61.561
"2285"	"Jul"	16.1	1801	7	"1801-07-15"	-61.531
"2642"	"Aug"	17.1	1801	8	"1801-08-15"	-61.5
"2999"	"Sep"	14.2	1801	9	"1801-09-15"	-61.469
"3713"	"Nov"	4.8	1801	11	"1801-11-15"	-61.408
"144"	"Jan"	1.6	1802	1	"1802-01-15"	-61.347
"501"	"Feb"	3.7	1802	2	"1802-02-15"	-61.316
"1215"	"Apr"	8.9	1802	4	"1802-04-15"	-61.257
"1929"	"Jun"	13.7	1802	6	"1802-06-15"	-61.196
"2286"	"Jul"	13.5	1802	7	"1802-07-15"	-61.166
"2643"	"Aug"	17.2	1802	8	"1802-08-15"	-61.135
"3000"	"Sep"	13.8	1802	9	"1802-09-15"	-61.104
"3714"	"Nov"	5.1	1802	11	"1802-11-15"	-61.043
"145"	"Jan"	1.8	1803	1	"1803-01-15"	-60.982
"502"	"Feb"	3.4	1803	2	"1803-02-15"	-60.951
"1216"	"Apr"	9.1	1803	4	"1803-04-15"	-60.892
"1930"	"Jun"	13.7	1803	6	"1803-06-15"	-60.831
"2287"	"Jul"	17.6	1803	7	"1803-07-15"	-60.801
"2644"	"Aug"	16.1	1803	8	"1803-08-15"	-60.77
"3001"	"Sep"	11.4	1803	9	"1803-09-15"	-60.739
"3715"	"Nov"	5	1803	11	"1803-11-15"	-60.678
"146"	"Jan"	5.8	1804	1	"1804-01-15"	-60.617
"503"	"Feb"	2.9	1804	2	"1804-02-15"	-60.586
"1217"	"Apr"	6.9	1804	4	"1804-04-15"	-60.526
"1931"	"Jun"	16.1	1804	6	"1804-06-15"	-60.465
"2288"	"Jul"	15.9	1804	7	"1804-07-15"	-60.435
"2645"	"Aug"	15.6	1804	8	"1804-08-15"	-60.404
"3002"	"Sep"	14.2	1804	9	"1804-09-15"	-60.373
"3716"	"Nov"	6.6	1804	11	"1804-11-15"	-60.312
"147"	"Jan"	2.1	1805	1	"1805-01-15"	-60.251
"504"	"Feb"	4.1	1805	2	"1805-02-15"	-60.22
"1218"	"Apr"	8.3	1805	4	"1805-04-15"	-60.161
"1932"	"Jun"	13.2	1805	6	"1805-06-15"	-60.1
"2289"	"Jul"	16	1805	7	"1805-07-15"	-60.07
"2646"	"Aug"	16.4	1805	8	"1805-08-15"	-60.039
"3003"	"Sep"	14.6	1805	9	"1805-09-15"	-60.008
"3717"	"Nov"	4.8	1805	11	"1805-11-15"	-59.947
"148"	"Jan"	4.2	1806	1	"1806-01-15"	-59.886
"505"	"Feb"	4.3	1806	2	"1806-02-15"	-59.855
"1219"	"Apr"	6.8	1806	4	"1806-04-15"	-59.796
"1933"	"Jun"	14.9	1806	6	"1806-06-15"	-59.735
"2290"	"Jul"	15.4	1806	7	"1806-07-15"	-59.705
"2647"	"Aug"	16.2	1806	8	"1806-08-15"	-59.674
"3004"	"Sep"	13.4	1806	9	"1806-09-15"	-59.643
"3718"	"Nov"	7.8	1806	11	"1806-11-15"	-59.582
"149"	"Jan"	2.8	1807	1	"1807-01-15"	-59.521
"506"	"Feb"	3.7	1807	2	"1807-02-15"	-59.49
"1220"	"Apr"	7.7	1807	4	"1807-04-15"	-59.431
"1934"	"Jun"	14.2	1807	6	"1807-06-15"	-59.37
"2291"	"Jul"	17.1	1807	7	"1807-07-15"	-59.34
"2648"	"Aug"	16.9	1807	8	"1807-08-15"	-59.309
"3005"	"Sep"	10.5	1807	9	"1807-09-15"	-59.278
"3719"	"Nov"	2.9	1807	11	"1807-11-15"	-59.217
"150"	"Jan"	2.6	1808	1	"1808-01-15"	-59.156
"507"	"Feb"	2.8	1808	2	"1808-02-15"	-59.125
"1221"	"Apr"	5.8	1808	4	"1808-04-15"	-59.065
"1935"	"Jun"	14.8	1808	6	"1808-06-15"	-59.004
"2292"	"Jul"	18.4	1808	7	"1808-07-15"	-58.974
"2649"	"Aug"	16.7	1808	8	"1808-08-15"	-58.943
"3006"	"Sep"	12.7	1808	9	"1808-09-15"	-58.912
"3720"	"Nov"	6	1808	11	"1808-11-15"	-58.851
"151"	"Jan"	2	1809	1	"1809-01-15"	-58.79
"508"	"Feb"	5.7	1809	2	"1809-02-15"	-58.759
"1222"	"Apr"	5.2	1809	4	"1809-04-15"	-58.7
"1936"	"Jun"	13.7	1809	6	"1809-06-15"	-58.639
"2293"	"Jul"	15.1	1809	7	"1809-07-15"	-58.609
"2650"	"Aug"	14.8	1809	8	"1809-08-15"	-58.578
"3007"	"Sep"	12.7	1809	9	"1809-09-15"	-58.547
"3721"	"Nov"	4.6	1809	11	"1809-11-15"	-58.486
"152"	"Jan"	2.2	1810	1	"1810-01-15"	-58.425
"509"	"Feb"	3.5	1810	2	"1810-02-15"	-58.394
"1223"	"Apr"	8.2	1810	4	"1810-04-15"	-58.335
"1937"	"Jun"	14.6	1810	6	"1810-06-15"	-58.274
"2294"	"Jul"	15.2	1810	7	"1810-07-15"	-58.244
"2651"	"Aug"	14.6	1810	8	"1810-08-15"	-58.213
"3008"	"Sep"	13.9	1810	9	"1810-09-15"	-58.182
"3722"	"Nov"	5.4	1810	11	"1810-11-15"	-58.121
"153"	"Jan"	1.2	1811	1	"1811-01-15"	-58.06
"510"	"Feb"	4.6	1811	2	"1811-02-15"	-58.029
"1224"	"Apr"	8.9	1811	4	"1811-04-15"	-57.97
"1938"	"Jun"	14.1	1811	6	"1811-06-15"	-57.909
"2295"	"Jul"	16.1	1811	7	"1811-07-15"	-57.879
"2652"	"Aug"	14.4	1811	8	"1811-08-15"	-57.848
"3009"	"Sep"	13.7	1811	9	"1811-09-15"	-57.817
"3723"	"Nov"	7.7	1811	11	"1811-11-15"	-57.756
"154"	"Jan"	2.6	1812	1	"1812-01-15"	-57.695
"511"	"Feb"	5.3	1812	2	"1812-02-15"	-57.664
"1225"	"Apr"	5.5	1812	4	"1812-04-15"	-57.604
"1939"	"Jun"	13	1812	6	"1812-06-15"	-57.543
"2296"	"Jul"	14.2	1812	7	"1812-07-15"	-57.513
"2653"	"Aug"	14.3	1812	8	"1812-08-15"	-57.482
"3010"	"Sep"	13.2	1812	9	"1812-09-15"	-57.451
"3724"	"Nov"	4.9	1812	11	"1812-11-15"	-57.39
"155"	"Jan"	1.9	1813	1	"1813-01-15"	-57.329
"512"	"Feb"	5.8	1813	2	"1813-02-15"	-57.298
"1226"	"Apr"	7.6	1813	4	"1813-04-15"	-57.239
"1940"	"Jun"	13.6	1813	6	"1813-06-15"	-57.178
"2297"	"Jul"	15	1813	7	"1813-07-15"	-57.148
"2654"	"Aug"	14.5	1813	8	"1813-08-15"	-57.117
"3011"	"Sep"	12.5	1813	9	"1813-09-15"	-57.086
"3725"	"Nov"	4.3	1813	11	"1813-11-15"	-57.025
"156"	"Jan"	-2.9	1814	1	"1814-01-15"	-56.964
"513"	"Feb"	1.4	1814	2	"1814-02-15"	-56.933
"1227"	"Apr"	9.6	1814	4	"1814-04-15"	-56.874
"1941"	"Jun"	12.2	1814	6	"1814-06-15"	-56.813
"2298"	"Jul"	16	1814	7	"1814-07-15"	-56.783
"2655"	"Aug"	14.7	1814	8	"1814-08-15"	-56.752
"3012"	"Sep"	12.8	1814	9	"1814-09-15"	-56.721
"3726"	"Nov"	4.7	1814	11	"1814-11-15"	-56.66
"157"	"Jan"	0.3	1815	1	"1815-01-15"	-56.599
"514"	"Feb"	6.5	1815	2	"1815-02-15"	-56.568
"1228"	"Apr"	8.1	1815	4	"1815-04-15"	-56.509
"1942"	"Jun"	14.3	1815	6	"1815-06-15"	-56.448
"2299"	"Jul"	14.9	1815	7	"1815-07-15"	-56.418
"2656"	"Aug"	15.3	1815	8	"1815-08-15"	-56.387
"3013"	"Sep"	13.4	1815	9	"1815-09-15"	-56.356
